Epoch 1/30 - Train Acc: 0.3286, Val Acc: 0.3443, Loss: 42.6716
Epoch 2/30 - Train Acc: 0.3340, Val Acc: 0.3363, Loss: 1.2663
Epoch 3/30 - Train Acc: 0.3300, Val Acc: 0.3363, Loss: 1.1130
Epoch 4/30 - Train Acc: 0.3335, Val Acc: 0.3363, Loss: 1.1004
Epoch 5/30 - Train Acc: 0.3328, Val Acc: 0.3363, Loss: 1.1007
Epoch 6/30 - Train Acc: 0.3336, Val Acc: 0.3363, Loss: 1.1008
Epoch 7/30 - Train Acc: 0.3332, Val Acc: 0.3363, Loss: 1.1005
Epoch 8/30 - Train Acc: 0.3332, Val Acc: 0.3363, Loss: 1.1006
Epoch 9/30 - Train Acc: 0.3333, Val Acc: 0.3363, Loss: 1.1002
Epoch 10/30 - Train Acc: 0.3330, Val Acc: 0.3363, Loss: 1.1000
Epoch 11/30 - Train Acc: 0.3361, Val Acc: 0.3363, Loss: 1.0994
Epoch 12/30 - Train Acc: 0.3313, Val Acc: 0.3363, Loss: 1.0998
Epoch 13/30 - Train Acc: 0.3358, Val Acc: 0.3363, Loss: 1.0992
Epoch 14/30 - Train Acc: 0.3326, Val Acc: 0.3363, Loss: 1.0989
Epoch 15/30 - Train Acc: 0.3416, Val Acc: 0.3363, Loss: 1.0992
Epoch 16/30 - Train Acc: 0.3395, Val Acc: 0.3363, Loss: 1.0982
Epoch 17/30 - Train Acc: 0.3323, Val Acc: 0.3363, Loss: 1.0992
Epoch 18/30 - Train Acc: 0.3411, Val Acc: 0.3363, Loss: 1.0980
Epoch 19/30 - Train Acc: 0.3378, Val Acc: 0.3353, Loss: 1.0988
Epoch 20/30 - Train Acc: 0.3422, Val Acc: 0.3363, Loss: 1.0992
Epoch 21/30 - Train Acc: 0.3381, Val Acc: 0.3363, Loss: 1.0983
Epoch 22/30 - Train Acc: 0.3385, Val Acc: 0.3353, Loss: 1.0985
Epoch 23/30 - Train Acc: 0.3492, Val Acc: 0.3363, Loss: 1.0980
Epoch 24/30 - Train Acc: 0.3492, Val Acc: 0.3353, Loss: 1.0978
Epoch 25/30 - Train Acc: 0.3469, Val Acc: 0.3343, Loss: 1.0981
Epoch 26/30 - Train Acc: 0.3496, Val Acc: 0.3413, Loss: 1.0974
Epoch 27/30 - Train Acc: 0.3544, Val Acc: 0.3403, Loss: 1.0972
Epoch 28/30 - Train Acc: 0.3455, Val Acc: 0.3383, Loss: 1.0973
Epoch 29/30 - Train Acc: 0.3614, Val Acc: 0.3483, Loss: 1.0940
Epoch 30/30 - Train Acc: 0.3599, Val Acc: 0.3594, Loss: 1.0949
