Epoch 1/30 - Train Acc: 0.3322, Val Acc: 0.3443, Loss: 1.4339
Epoch 2/30 - Train Acc: 0.3456, Val Acc: 0.3493, Loss: 1.0999
Epoch 3/30 - Train Acc: 0.3378, Val Acc: 0.3443, Loss: 1.0999
Epoch 4/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0997
Epoch 5/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0994
Epoch 6/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0994
Epoch 7/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0992
Epoch 8/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0991
Epoch 9/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0989
Epoch 10/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0988
Epoch 11/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0988
Epoch 12/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0988
Epoch 13/30 - Train Acc: 0.3349, Val Acc: 0.3443, Loss: 1.0988
Epoch 14/30 - Train Acc: 0.3350, Val Acc: 0.3443, Loss: 1.0988
Epoch 15/30 - Train Acc: 0.3346, Val Acc: 0.3443, Loss: 1.0986
Epoch 16/30 - Train Acc: 0.3345, Val Acc: 0.3443, Loss: 1.0988
Epoch 17/30 - Train Acc: 0.3356, Val Acc: 0.3443, Loss: 1.0987
Epoch 18/30 - Train Acc: 0.3388, Val Acc: 0.3443, Loss: 1.0987
Epoch 19/30 - Train Acc: 0.3365, Val Acc: 0.3443, Loss: 1.0986
Epoch 20/30 - Train Acc: 0.3393, Val Acc: 0.3443, Loss: 1.0986
Epoch 21/30 - Train Acc: 0.3300, Val Acc: 0.3443, Loss: 1.0985
Epoch 22/30 - Train Acc: 0.3366, Val Acc: 0.3443, Loss: 1.0986
Epoch 23/30 - Train Acc: 0.3369, Val Acc: 0.3443, Loss: 1.0986
Epoch 24/30 - Train Acc: 0.3302, Val Acc: 0.3443, Loss: 1.0987
Epoch 25/30 - Train Acc: 0.3403, Val Acc: 0.3443, Loss: 1.0986
Epoch 26/30 - Train Acc: 0.3240, Val Acc: 0.3443, Loss: 1.0986
Epoch 27/30 - Train Acc: 0.3421, Val Acc: 0.3443, Loss: 1.0986
Epoch 28/30 - Train Acc: 0.3415, Val Acc: 0.3443, Loss: 1.0986
Epoch 29/30 - Train Acc: 0.3299, Val Acc: 0.3433, Loss: 1.0986
Epoch 30/30 - Train Acc: 0.3353, Val Acc: 0.3504, Loss: 1.0985
